iter,LS1,LS2,LS3,LS4
0,0.5000,0.5000,0.5000,0.5000
1,0.5000,0.3526,0.5000,0.5000
2,0.5000,0.3526,0.5000,0.3500
3,0.5000,0.3526,0.3570,0.3500
4,0.3545,0.3526,0.3570,0.3500
5,0.3545,0.3526,0.2501,0.3500
6,0.2482,0.3526,0.2501,0.3500
7,0.2482,0.2468,0.2501,0.3500
8,0.2482,0.2468,0.2501,0.2450
9,0.2482,0.2468,0.1751,0.2450
10,0.1738,0.2468,0.1751,0.2450
0,0.1738,0.2468,0.1751,0.2450
1,0.1738,0.1732,0.1751,0.2450
2,0.1738,0.1732,0.1751,0.1715
3,0.1738,0.1732,0.1226,0.1715
4,0.1738,0.1213,0.1226,0.1715
5,0.1216,0.1213,0.1226,0.1715
6,0.1216,0.1213,0.1226,0.1200
0,0.1216,0.1213,0.1226,0.1200
1,0.1216,0.1213,0.0873,0.1200
2,0.0864,0.1213,0.0873,0.1200
3,0.0864,0.0849,0.0873,0.1200
4,0.0864,0.0849,0.0873,0.0840
5,0.0864,0.0849,0.0611,0.0840
6,0.0605,0.0849,0.0611,0.0840
7,0.0605,0.0594,0.0611,0.0840
0,0.0605,0.0594,0.0611,0.0840
1,0.0605,0.0594,0.0611,0.0588
2,0.0605,0.0594,0.0437,0.0588
3,0.0605,0.0416,0.0437,0.0588
4,0.0605,0.0416,0.0437,0.0412
5,0.0428,0.0416,0.0437,0.0412
6,0.0428,0.0416,0.0306,0.0412
7,0.0300,0.0416,0.0306,0.0412
8,0.0300,0.0291,0.0306,0.0412
9,0.0300,0.0291,0.0306,0.0288
10,0.0300,0.0291,0.0214,0.0288
0,0.0300,0.0291,0.0214,0.0288
1,0.0233,0.0291,0.0214,0.0288
2,0.0233,0.0204,0.0214,0.0288
3,0.0233,0.0204,0.0214,0.0202
4,0.0163,0.0204,0.0214,0.0202
5,0.0163,0.0204,0.0150,0.0202
6,0.0163,0.0143,0.0150,0.0202
0,0.0163,0.0143,0.0150,0.0202
1,0.0163,0.0143,0.0150,0.0141
2,0.0145,0.0143,0.0150,0.0141
3,0.0145,0.0143,0.0105,0.0141
4,0.0101,0.0143,0.0105,0.0141
5,0.0101,0.0143,0.0073,0.0141
6,0.0101,0.0100,0.0073,0.0141
7,0.0101,0.0100,0.0073,0.0099
0,0.0101,0.0100,0.0073,0.0099
1,0.0094,0.0100,0.0073,0.0099
2,0.0094,0.0100,0.0051,0.0099
3,0.0066,0.0100,0.0051,0.0099
4,0.0066,0.0100,0.0051,0.0069
5,0.0046,0.0100,0.0051,0.0069
6,0.0046,0.0070,0.0051,0.0069
0,0.0046,0.0070,0.0051,0.0069
1,0.0046,0.0066,0.0051,0.0069
2,0.0046,0.0066,0.0051,0.0048
